x_q88,x_float,x_clamp,hw_q016,hw_float,true_float,true_q016,err_q016
256,1.000000,1.000000,0xbb27,0.731064,0.731059,47911,0
0,0.000000,0.000000,0x8000,0.500000,0.500000,32768,0
-256,-1.000000,-1.000000,0x44d9,0.268936,0.268941,17625,0
-768,-3.000000,-3.000000,0x0c24,0.047424,0.047426,3108,0
512,2.000000,2.000000,0xe17c,0.880798,0.880797,57724,0
128,0.500000,0.500000,0x9f59,0.622452,0.622459,40793,0
-128,-0.500000,-0.500000,0x60a7,0.377548,0.377541,24743,0
-512,-2.000000,-2.000000,0x1e84,0.119202,0.119203,7812,0
1023,3.996094,3.996094,0xfb61,0.981949,0.981945,64353,0
512,2.000000,2.000000,0xe17c,0.880798,0.880797,57724,0
-512,-2.000000,-2.000000,0x1e84,0.119202,0.119203,7812,0
-1024,-4.000000,-4.000000,0x049b,0.017990,0.017986,1179,0
0,0.000000,0.000000,0x8000,0.500000,0.500000,32768,0
0,0.000000,0.000000,0x8000,0.500000,0.500000,32768,0
0,0.000000,0.000000,0x8000,0.500000,0.500000,32768,0
0,0.000000,0.000000,0x8000,0.500000,0.500000,32768,0
256,1.000000,1.000000,0xbb27,0.731064,0.731059,47911,0
256,1.000000,1.000000,0xbb27,0.731064,0.731059,47911,0
256,1.000000,1.000000,0xbb27,0.731064,0.731059,47911,0
256,1.000000,1.000000,0xbb27,0.731064,0.731059,47911,0
-256,-1.000000,-1.000000,0x44d9,0.268936,0.268941,17625,0
-256,-1.000000,-1.000000,0x44d9,0.268936,0.268941,17625,0
-256,-1.000000,-1.000000,0x44d9,0.268936,0.268941,17625,0
-256,-1.000000,-1.000000,0x44d9,0.268936,0.268941,17625,0
128,0.500000,0.500000,0x9f59,0.622452,0.622459,40793,0
256,1.000000,1.000000,0xbb27,0.731064,0.731059,47911,0
512,2.000000,2.000000,0xe17c,0.880798,0.880797,57724,0
768,3.000000,3.000000,0xf3dc,0.952576,0.952574,62428,0
-128,-0.500000,-0.500000,0x60a7,0.377548,0.377541,24743,0
-256,-1.000000,-1.000000,0x44d9,0.268936,0.268941,17625,0
-512,-2.000000,-2.000000,0x1e84,0.119202,0.119203,7812,0
-768,-3.000000,-3.000000,0x0c24,0.047424,0.047426,3108,0
-15000,-58.593750,-4.000000,0x049b,0.017990,0.017986,1179,0
15000,58.593750,3.996094,0xfb61,0.981949,0.981945,64353,0
-20000,-78.125000,-4.000000,0x049b,0.017990,0.017986,1179,0
20000,78.125000,3.996094,0xfb61,0.981949,0.981945,64353,0
1,0.003906,0.003906,0x8040,0.500977,0.500977,32832,0
0,0.000000,0.000000,0x8000,0.500000,0.500000,32768,0
30000,117.187500,3.996094,0xfb61,0.981949,0.981945,64353,0
-30000,-117.187500,-4.000000,0x049b,0.017990,0.017986,1179,0
-1023,-3.996094,-3.996094,0x049f,0.018051,0.018055,1183,0
-1024,-4.000000,-4.000000,0x049b,0.017990,0.017986,1179,0
1022,3.992188,3.992188,0xfb5c,0.981873,0.981875,64348,0
1023,3.996094,3.996094,0xfb61,0.981949,0.981945,64353,0
-900,-3.515625,-3.515625,0x0764,0.028870,0.028871,1892,0
-700,-2.734375,-2.734375,0x0f9c,0.060974,0.060975,3996,0
350,1.367188,1.367188,0xcc03,0.796921,0.796925,52227,0
600,2.343750,2.343750,0xe995,0.912430,0.912436,59797,0
